Participant,Contributions & Attitude,Cooperation with Others,"Focus, Commitments",Team Role Fulfillment,Ability to Communicate,Accuracy
Participant 64,1,4,3,2,1,4
Participant 65,4,4,4,2,2,2
Participant 66,1,4,3,2,3,3
Participant 67,1,2,3,2,2,4
Participant 68,1,1,4,2,4,3
Participant 69,2,1,3,2,4,3
Participant 70,2,1,4,4,1,3
Participant 71,3,3,2,4,4,2
Participant 72,4,2,4,2,2,3
Participant 73,4,3,2,4,1,2
Participant 74,2,2,4,3,4,3
Participant 75,4,1,2,3,4,1
Participant 76,1,2,3,1,4,3
Participant 77,2,4,1,2,2,3
Participant 78,2,4,3,2,1,4
Participant 79,4,1,1,2,1,2
Participant 80,1,3,1,2,1,1
Participant 81,4,1,2,2,3,1
Participant 82,1,3,4,4,4,2
Participant 83,3,1,4,1,1,3
Participant 84,4,1,1,1,1,4
Participant 85,3,1,1,1,4,2
Participant 86,3,4,1,1,4,4
Participant 87,3,4,4,2,2,3
Participant 88,4,4,4,1,3,1
Participant 89,3,2,4,4,2,4
Participant 90,1,4,1,1,4,3
Participant 91,2,2,4,1,1,3
Participant 92,4,2,4,3,2,4
Participant 93,3,3,1,2,2,2
Participant 94,3,4,4,2,1,4
Participant 95,4,3,3,2,2,2
Participant 96,1,4,2,2,4,1
Participant 97,3,4,2,4,2,4
Participant 98,3,3,4,3,3,1
Participant 99,2,2,3,1,3,4
Participant 100,3,2,3,2,2,1
Participant 101,2,4,3,2,3,3
Participant 102,2,4,1,1,2,4
Participant 103,3,1,3,1,3,1
Participant 104,4,2,3,4,3,2
Participant 105,3,1,4,3,1,4
Participant 106,3,1,1,4,3,2
Participant 107,1,3,4,3,4,3
Participant 108,1,3,4,1,3,3
Participant 109,1,2,2,4,3,1
Participant 110,4,4,4,2,3,3
Participant 111,3,1,1,3,1,2
Participant 112,1,1,3,1,3,1
Participant 113,3,4,2,3,2,3
Participant 114,1,3,1,1,1,3
Participant 115,4,3,1,1,1,1
Participant 116,3,3,2,2,1,2
Participant 117,2,2,3,1,3,3
Participant 118,1,3,4,1,4,4
Participant 119,4,2,2,3,2,3
Participant 120,2,1,2,1,3,2
Participant 121,3,4,3,4,3,2
Participant 122,1,4,1,2,1,3
Participant 123,3,1,3,3,4,3
Participant 124,3,3,4,4,2,4
Participant 125,4,4,4,4,3,4
Participant 126,1,4,1,1,4,4
Participant 127,3,2,4,4,1,1
Participant 128,3,4,4,1,4,4
Participant 129,3,3,2,4,3,4
Participant 130,3,1,2,2,1,1
Participant 131,3,3,1,1,1,2
Participant 132,4,4,1,2,3,4
Participant 133,3,4,4,3,1,2
Participant 134,3,4,1,2,3,4
Participant 135,2,4,1,3,1,4
Participant 136,3,2,3,4,4,2
Participant 137,2,3,3,4,4,2
Participant 138,1,3,1,1,4,1
Participant 139,2,2,1,2,3,2
Participant 140,3,4,4,4,2,1
Participant 141,4,3,2,4,3,1
Participant 142,4,4,1,3,3,4
Participant 143,3,1,4,1,3,4
Participant 144,1,2,4,2,1,4
Participant 145,1,3,1,3,4,1
Participant 146,2,4,3,2,3,1
Participant 147,2,1,1,1,3,3
Participant 148,1,4,3,1,2,4
Participant 149,2,3,4,1,3,4
Participant 150,1,4,3,3,2,4
Participant 151,1,3,1,2,2,4
Participant 152,3,2,1,2,3,2
Participant 153,4,4,4,1,4,4
Participant 154,3,4,1,1,1,2
Participant 155,3,3,4,2,3,2
Participant 156,2,4,2,1,3,2
Participant 157,4,4,4,3,2,2
Participant 158,2,4,1,4,3,4
Participant 159,1,2,1,1,4,4
Participant 160,4,2,4,4,3,2
Participant 161,3,4,2,2,2,3
Participant 162,3,2,3,1,3,2
Participant 163,2,2,2,1,1,2
Participant 164,4,1,2,4,2,4
Participant 165,3,2,1,4,4,2
Participant 166,3,3,4,4,1,4
Participant 167,1,3,2,1,1,1
Participant 168,1,1,4,1,1,4
Participant 169,2,4,4,4,3,2
Participant 170,4,2,3,3,2,4
Participant 171,2,4,2,2,1,2
Participant 172,3,2,4,4,4,2
Participant 173,1,4,4,4,4,1
Participant 174,1,2,4,4,3,3
Participant 175,1,1,4,3,2,3
Participant 176,4,4,1,3,1,3
Participant 177,4,4,3,4,1,4
Participant 178,2,1,4,3,3,4
Participant 179,4,1,3,4,3,1
Participant 180,4,1,1,3,1,1
Participant 181,3,1,1,1,4,4
Participant 182,1,2,3,2,3,2
Participant 183,3,4,3,4,2,4
Participant 184,1,2,3,3,2,3
Participant 185,1,1,1,2,1,4
Participant 186,1,2,3,2,1,1
Participant 187,1,2,2,1,4,4
Participant 188,4,1,4,1,4,4
Participant 189,1,1,2,2,4,2
Participant 190,1,1,2,2,3,1
Participant 191,3,1,1,1,2,3
Participant 192,2,1,3,3,4,2
Participant 193,4,4,2,2,2,4
Participant 194,1,4,3,4,4,4
Participant 195,1,4,1,2,2,2
Participant 196,2,4,2,4,1,3
Participant 197,3,1,1,4,3,1
Participant 198,1,2,3,3,4,2
Participant 199,2,2,3,2,1,2
Participant 200,4,4,2,1,4,1
